AAIT,35.39,35.39,35.33,35.33,35.49,35.66,35.49,35.66,35.53,35.53,35.53,35.53
AAL,48.33,48.94,47.90,48.00,49.19,49.20,47.78,48.40,48.85,48.96,47.98,48.95
AAME,4.02,4.02,3.94,3.97,3.99,3.99,3.98,3.98,4.06,4.06,3.93,3.93
AAOI,12.72,12.97,12.39,12.41,12.96,13.10,12.67,12.74,12.99,12.99,12.53,12.88
AAON,21.99,22.29,21.69,21.92,22.28,22.40,21.90,22.23,22.33,22.63,22.09,22.29
AAPL,128.40,129.37,126.26,126.60,128.58,128.75,125.76,126.41,129.10,129.56,128.32,128.54
AAVL,37.50,37.62,35.26,35.96,36.93,38.24,35.96,37.94,34.55,36.63,34.10,36.61
AAWW,46.14,46.55,45.71,45.77,46.28,46.94,45.72,46.30,46.51,47.01,45.97,46.08
AAXJ,62.96,63.02,62.32,62.52,63.27,63.29,63.00,63.11,63.08,63.36,62.98,63.27
ABAC,1.46,1.53,1.46,1.46,1.47,1.54,1.43,1.54,1.52,1.56,1.46,1.46
