ABAX,61.95,62.57,61.50,62.39,62.44,62.64,61.98,62.15,61.79,62.62,61.12,62.11
ABCB,25.52,26.40,25.28,25.40,25.54,25.76,25.25,25.60,25.61,25.80,25.43,25.44
ABCD,2.85,3.11,2.85,2.95,2.78,2.85,2.75,2.84,2.77,2.78,2.71,2.74
ABCO,53.33,54.11,52.53,53.05,53.66,54.17,53.03,53.73,53.44,54.10,52.72,53.72
ABCW,33.65,34.63,33.65,33.67,34.14,34.49,33.82,33.82,34.03,34.23,34.03,34.11
ABDC,13.57,13.61,13.44,13.48,13.65,13.73,13.50,13.57,13.78,13.78,13.59,13.69
ABGB,17.34,17.58,17.34,17.40,17.20,17.44,17.13,17.37,16.60,16.87,16.57,16.79
ABIO,0.79,0.87,0.78,0.87,0.79,0.80,0.75,0.75,0.70,0.78,0.69,0.77
ABMD,61.26,61.86,60.22,60.35,61.55,62.00,61.19,61.38,59.98,61.53,59.69,61.24
ABTL,14.87,14.87,14.16,14.46,14.65,15.10,14.30,14.77,13.91,14.68,13.61,14.52
